,CountryName,CountryCode,IndicatorName,IndicatorCode,Year,Value
6,Arab World,ARB,Arms imports (SIPRI trend indicator values),MS.MIL.MPRT.KD,1960,541000000.0
277,Central Europe and the Baltics,CEB,Arms imports (SIPRI trend indicator values),MS.MIL.MPRT.KD,1960,2039000000.0
404,Early-demographic dividend,EAR,Arms imports (SIPRI trend indicator values),MS.MIL.MPRT.KD,1960,2653000000.0
597,East Asia & Pacific,EAS,Arms imports (SIPRI trend indicator values),MS.MIL.MPRT.KD,1960,5255000000.0
766,East Asia & Pacific (excluding high income),EAP,Arms imports (SIPRI trend indicator values),MS.MIL.MPRT.KD,1960,3484000000.0
940,East Asia & Pacific (IDA & IBRD countries),TEA,Arms imports (SIPRI trend indicator values),MS.MIL.MPRT.KD,1960,3079000000.0
1103,Euro area,EMU,Arms imports (SIPRI trend indicator values),MS.MIL.MPRT.KD,1960,3913000000.0
1257,Europe & Central Asia,ECS,Arms imports (SIPRI trend indicator values),MS.MIL.MPRT.KD,1960,7287000000.0
1413,Europe & Central Asia (excluding high income),ECA,Arms imports (SIPRI trend indicator values),MS.MIL.MPRT.KD,1960,1128000000.0
1570,Europe & Central Asia (IDA & IBRD countries),TEC,Arms imports (SIPRI trend indicator values),MS.MIL.MPRT.KD,1960,2094000000.0
1717,European Union,EUU,Arms imports (SIPRI trend indicator values),MS.MIL.MPRT.KD,1960,6220000000.0
1869,Fragile and conflict affected situations,FCS,Arms imports (SIPRI trend indicator values),MS.MIL.MPRT.KD,1960,374000000.0
2015,Heavily indebted poor countries (HIPC),HPC,Arms imports (SIPRI trend indicator values),MS.MIL.MPRT.KD,1960,149000000.0
2157,High income,HIC,Arms imports (SIPRI trend indicator values),MS.MIL.MPRT.KD,1960,8876000000.0
2339,IBRD only,IBD,Arms imports (SIPRI trend indicator values),MS.MIL.MPRT.KD,1960,7214000000.0
2520,IDA & IBRD total,IBT,Arms imports (SIPRI trend indicator values),MS.MIL.MPRT.KD,1960,7461000000.0
